epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1770.61,1.46071,1.28617,1.14739,0.70759,0.64674,0.66798,0.35681,1.63457,1.29834,1.21022,0.000540037,0.000540037,0.000540037
43,1814.76,1.43216,1.24431,1.13865,0.73222,0.58594,0.65079,0.35523,1.62899,1.31121,1.2208,0.000531038,0.000531038,0.000531038
44,1860.21,1.4238,1.20751,1.13023,0.76741,0.57506,0.67293,0.37094,1.63195,1.27039,1.22283,0.000522039,0.000522039,0.000522039
45,1904.1,1.43765,1.20193,1.12962,0.7189,0.61715,0.66395,0.36485,1.6249,1.30546,1.20676,0.00051304,0.00051304,0.00051304
46,1948.69,1.46125,1.21433,1.13905,0.65563,0.65359,0.69296,0.37927,1.62053,1.26135,1.21108,0.00050404,0.00050404,0.00050404
47,1994.52,1.42837,1.22968,1.13676,0.7378,0.62108,0.67943,0.36461,1.63123,1.3304,1.21542,0.000495041,0.000495041,0.000495041
48,2039.23,1.42636,1.19,1.12048,0.72188,0.60968,0.68029,0.36985,1.64244,1.26494,1.21376,0.000486042,0.000486042,0.000486042
49,2081.3,1.40278,1.22977,1.12331,0.73579,0.61361,0.68185,0.38622,1.60101,1.24015,1.20677,0.000477043,0.000477043,0.000477043
50,2122.8,1.42747,1.15536,1.13784,0.63188,0.6671,0.66289,0.36739,1.65715,1.27246,1.22273,0.000468044,0.000468044,0.000468044
51,2164.52,1.41655,1.16955,1.14652,0.77789,0.61357,0.69057,0.38125,1.63278,1.25159,1.21152,0.000459045,0.000459045,0.000459045
52,2206.82,1.39891,1.14335,1.1163,0.73684,0.60896,0.67197,0.36517,1.62958,1.26892,1.2024,0.000450046,0.000450046,0.000450046
53,2249.55,1.41938,1.15713,1.11974,0.75469,0.61411,0.69429,0.3801,1.63609,1.21165,1.21983,0.000441047,0.000441047,0.000441047
54,2292.56,1.39655,1.12386,1.11329,0.77332,0.61272,0.70411,0.3773,1.63418,1.22834,1.21969,0.000432048,0.000432048,0.000432048
55,2337.12,1.36628,1.08812,1.10172,0.76155,0.64197,0.69904,0.37947,1.60848,1.23775,1.20195,0.000423049,0.000423049,0.000423049
56,2381.36,1.39771,1.12479,1.10936,0.78054,0.64792,0.70243,0.38909,1.59309,1.20684,1.1938,0.000414049,0.000414049,0.000414049
57,2425.35,1.36825,1.08529,1.10236,0.71172,0.63693,0.69148,0.37709,1.59863,1.25959,1.19352,0.00040505,0.00040505,0.00040505
58,2470.82,1.39208,1.12031,1.10103,0.72004,0.62701,0.66908,0.36652,1.63991,1.25411,1.22222,0.000396051,0.000396051,0.000396051
59,2515.49,1.37748,1.08159,1.09241,0.76645,0.61165,0.69208,0.38145,1.60483,1.24091,1.19742,0.000387052,0.000387052,0.000387052
60,2559.88,1.38568,1.06523,1.09377,0.7226,0.66394,0.70436,0.39124,1.61987,1.19502,1.20894,0.000378053,0.000378053,0.000378053
61,2603.51,1.34347,1.05502,1.09922,0.73835,0.62359,0.68627,0.37869,1.63791,1.27219,1.21197,0.000369054,0.000369054,0.000369054
62,2646.76,1.35852,1.06343,1.09635,0.77897,0.60889,0.6854,0.38759,1.60543,1.24764,1.20382,0.000360055,0.000360055,0.000360055
63,2691.12,1.37169,1.07334,1.09521,0.74982,0.63897,0.69033,0.39091,1.60458,1.24196,1.19395,0.000351056,0.000351056,0.000351056
64,2733.96,1.32684,1.0619,1.08655,0.76971,0.64205,0.70069,0.38922,1.60341,1.22369,1.19226,0.000342057,0.000342057,0.000342057
65,2777.04,1.33728,1.0364,1.0876,0.70807,0.66134,0.69373,0.38965,1.61281,1.19961,1.20643,0.000333058,0.000333058,0.000333058
66,2820.23,1.33038,1.03784,1.08867,0.74922,0.62549,0.69161,0.38526,1.62635,1.22277,1.2069,0.000324058,0.000324058,0.000324058
67,2863.09,1.3482,1.0726,1.08849,0.74659,0.64324,0.70436,0.39202,1.59093,1.20515,1.19584,0.000315059,0.000315059,0.000315059
68,2906.41,1.3065,1.02236,1.07927,0.74397,0.63524,0.70251,0.39636,1.60698,1.18942,1.19903,0.00030606,0.00030606,0.00030606
69,2949.38,1.3389,1.03292,1.08984,0.77685,0.63236,0.71227,0.39583,1.5935,1.1728,1.19192,0.000297061,0.000297061,0.000297061
70,2993.21,1.31512,1.02295,1.08605,0.75809,0.61709,0.70677,0.39824,1.59518,1.1715,1.19228,0.000288062,0.000288062,0.000288062
71,3037.77,1.30831,1.01035,1.07659,0.72865,0.63647,0.68557,0.37974,1.63325,1.22039,1.201,0.000279063,0.000279063,0.000279063
72,3080.81,1.31058,1.01292,1.0802,0.75998,0.65389,0.70075,0.38734,1.56313,1.1691,1.17345,0.000270064,0.000270064,0.000270064
73,3124.46,1.30721,1.01878,1.08778,0.75591,0.6547,0.71026,0.39491,1.5817,1.17623,1.19247,0.000261065,0.000261065,0.000261065
74,3167.68,1.30587,1.00414,1.07266,0.77053,0.59885,0.68533,0.38617,1.59638,1.19134,1.19907,0.000252066,0.000252066,0.000252066
75,3210.34,1.30894,0.98328,1.06679,0.70879,0.64681,0.70064,0.39642,1.58765,1.17162,1.19309,0.000243067,0.000243067,0.000243067
76,3252.92,1.28818,0.97608,1.07467,0.70982,0.66823,0.70266,0.40295,1.55058,1.15269,1.18138,0.000234068,0.000234068,0.000234068
77,3295.3,1.32347,0.9809,1.07337,0.70091,0.67232,0.70249,0.39807,1.55636,1.1499,1.18848,0.000225068,0.000225068,0.000225068
78,3337.72,1.29292,0.97951,1.07265,0.75688,0.63136,0.71172,0.39787,1.58027,1.17256,1.19498,0.000216069,0.000216069,0.000216069
79,3379.9,1.28325,0.96738,1.06443,0.77439,0.64444,0.72807,0.40849,1.55511,1.15634,1.18659,0.00020707,0.00020707,0.00020707
80,3422.32,1.26476,0.94989,1.05772,0.71509,0.69813,0.72649,0.41304,1.5626,1.13284,1.18482,0.000198071,0.000198071,0.000198071
81,3464.29,1.26055,0.94095,1.04842,0.75659,0.62924,0.71789,0.40014,1.57265,1.16022,1.18877,0.000189072,0.000189072,0.000189072
82,3505.16,1.2585,0.93028,1.07527,0.76131,0.66024,0.71729,0.39717,1.57537,1.1758,1.19255,0.000180073,0.000180073,0.000180073
83,3546.18,1.2954,0.95623,1.06486,0.74475,0.65205,0.7175,0.40414,1.5716,1.16095,1.18087,0.000171074,0.000171074,0.000171074
84,3587.24,1.29615,0.96207,1.059,0.7453,0.64699,0.71078,0.39552,1.57343,1.17709,1.17799,0.000162075,0.000162075,0.000162075
85,3628.24,1.29247,0.95657,1.06056,0.75987,0.65401,0.72024,0.41003,1.57009,1.15647,1.18349,0.000153076,0.000153076,0.000153076
86,3669.49,1.26882,0.92779,1.05523,0.76225,0.65107,0.70437,0.39985,1.58288,1.16606,1.19032,0.000144077,0.000144077,0.000144077
87,3710.5,1.28916,0.93254,1.06419,0.76511,0.6273,0.70396,0.39707,1.58568,1.15071,1.19212,0.000135077,0.000135077,0.000135077
88,3751.47,1.25329,0.91628,1.055,0.7475,0.66414,0.70855,0.40131,1.56704,1.13158,1.18427,0.000126078,0.000126078,0.000126078
89,3792.41,1.25876,0.92825,1.05313,0.73028,0.6679,0.71107,0.40035,1.57448,1.13894,1.18335,0.000117079,0.000117079,0.000117079
90,3833.4,1.28209,0.91011,1.05202,0.74068,0.66985,0.71132,0.40042,1.574,1.13856,1.17852,0.00010808,0.00010808,0.00010808
91,3874.2,1.19966,0.90197,1.015,0.76697,0.63747,0.70028,0.3822,1.59638,1.19637,1.19608,9.9081e-05,9.9081e-05,9.9081e-05
92,3914.64,1.18417,0.86715,1.01876,0.74726,0.65407,0.71036,0.39165,1.59341,1.15982,1.19594,9.00819e-05,9.00819e-05,9.00819e-05
93,3955.15,1.18579,0.86752,1.00189,0.78912,0.63129,0.7056,0.39601,1.59246,1.16312,1.19412,8.10828e-05,8.10828e-05,8.10828e-05
94,3995.69,1.17296,0.8588,1.01876,0.78037,0.62691,0.70464,0.39791,1.59599,1.16332,1.19543,7.20837e-05,7.20837e-05,7.20837e-05
95,4038.32,1.15693,0.83614,1.0054,0.76316,0.6385,0.70853,0.39992,1.59196,1.16686,1.1922,6.30846e-05,6.30846e-05,6.30846e-05
96,4082.65,1.16337,0.83515,1.00437,0.76512,0.63661,0.70949,0.40087,1.57819,1.16093,1.19015,5.40855e-05,5.40855e-05,5.40855e-05
97,4126.56,1.15376,0.823,1.00763,0.77215,0.62499,0.70614,0.39646,1.58209,1.15897,1.1914,4.50864e-05,4.50864e-05,4.50864e-05
98,4170.67,1.14994,0.83247,1.00469,0.74266,0.65276,0.70762,0.39831,1.57835,1.15992,1.18745,3.60873e-05,3.60873e-05,3.60873e-05
99,4214.07,1.1404,0.81259,0.99776,0.77675,0.63032,0.71063,0.40273,1.57958,1.14061,1.18516,2.70882e-05,2.70882e-05,2.70882e-05
100,4257.06,1.15714,0.81646,1.00327,0.79806,0.62111,0.71202,0.40043,1.57948,1.14197,1.18334,1.80891e-05,1.80891e-05,1.80891e-05
