epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.8949,0.8167,0.91008,1,0.26652,0.000368033,0.000368033,0.000368033
2,183.392,0.40141,0.90327,1,0.23756,0.00059217,0.00059217,0.00059217
3,272.806,0.33982,0.93324,1,0.18312,0.000669655,0.000669655,0.000669655
4,361.195,0.29291,0.93052,1,0.19666,0.000451066,0.000451066,0.000451066
5,443.247,0.22181,0.94005,1,0.17396,0.000231088,0.000231088,0.000231088
